total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
380416,0.010284711,0.02343658,0.0029296875,23776,68.44677186012268,-0.0013466673,0.00023584811,0.9865481611341238,7879,1486,124.53,-124.53
380672,0.028658716,0.039458636,0.0014648438,23792,68.47954487800598,4.036911e-05,0.00012905616,0.9754337929189205,7774,1487,124.49,-124.49
380928,0.012256514,0.043752663,0.0014648438,23808,68.51272869110107,-0.00093970133,0.000107568456,0.990609553642571,7984,1488,124.44,-124.44
381184,0.007322182,0.042209808,0.0,23824,68.54505705833435,0.00014690158,4.8932685e-05,0.9936659261584282,8121,1489,124.48,-124.48
381440,0.015377478,0.02965234,0.0,23840,68.57688093185425,6.767851e-05,1.1888192e-05,0.9855858562514186,7836,1490,125.0,-125.0
381696,0.021810465,0.014591911,0.0,23856,68.60985970497131,-0.00021264539,2.2398797e-05,0.9714845009148121,7772,1491,125.37,-125.37
381952,0.01767867,0.05758608,0.0009765625,23872,68.6430778503418,-0.0007150407,9.946906e-05,0.9723195545375347,7776,1492,125.78,-125.78
382208,0.01564131,0.020370279,0.0029296875,23888,68.67629098892212,-0.0009824211,0.00042066758,0.9815936330705881,7797,1493,126.28,-126.28
382464,0.029705431,0.029556917,0.0,23904,68.70942091941833,-0.00026734313,6.873028e-05,0.9788701292127371,7310,1494,126.5,-126.5
382720,0.023805715,0.030369956,0.0,23920,68.74486088752747,-2.6543974e-05,9.01752e-06,0.983412828296423,7726,1495,126.22,-126.22
382976,0.024722984,0.039455555,0.0,23936,68.77830290794373,-0.00022560527,2.0248592e-05,0.9829795099794865,7884,1496,125.78,-125.78
383232,0.021551397,0.042436082,0.0034179688,23952,68.81103897094727,-0.0023408094,0.00034873938,0.9765024073421955,7657,1497,125.86,-125.86
383488,0.048266187,0.04519547,0.0,23968,68.84471702575684,-3.9166538e-05,2.676385e-05,0.9497183822095394,7876,1498,125.13,-125.13
383744,0.024381133,0.04456142,0.0014648438,23984,68.87749886512756,-0.000602377,0.000118984855,0.9584675207734108,7961,1499,125.13,-125.13
384000,0.49679852,0.040715065,0.0048828125,24000,68.90992879867554,-0.0015193236,0.00065490126,0.5754657089710236,7859,1500,123.82,-123.82
384256,0.029625371,0.01837759,0.0,24016,68.94277286529541,-0.0002516731,1.5937367e-05,0.9658042974770069,7909,1501,123.78,-123.78
384512,0.028616669,0.04200166,0.0034179688,24032,68.97542977333069,-0.0010568938,0.00030523067,0.9587121903896332,8045,1502,123.78,-123.78
384768,0.026757564,0.023823522,0.001953125,24048,69.00751376152039,-0.0009691483,0.00012415728,0.9763534758239985,7867,1503,124.22,-124.22
385024,0.02954615,0.01579768,0.0,24064,69.0403048992157,-0.0002243609,3.8925766e-05,0.9764058534055948,7853,1504,124.16,-124.16
